"wolves.added","wolf.failures","moose.failures","total.failures","survival.rate"
1,16999,0,16999,1
2,16998,0,16998,2
3,16998,0,16998,2
4,16999,0,16999,1
5,16937,0,16937,63
6,15625,0,15625,1375
7,11186,0,11186,5814
8,6544,2,6546,10454
9,3941,0,3941,13059
10,2544,0,2544,14456
11,1647,0,1647,15353
12,1143,0,1143,15857
13,849,0,849,16151
14,674,0,674,16326
15,480,0,480,16520
16,438,0,438,16562
17,342,0,342,16658
18,355,0,355,16645
19,270,0,270,16730
20,247,1,248,16752
21,264,0,264,16736
22,253,2,255,16745
23,246,2,248,16752
24,242,2,244,16756
25,231,1,232,16768
26,257,2,259,16741
27,233,2,235,16765
28,223,2,225,16775
29,212,3,215,16785
30,222,4,226,16774
31,213,7,220,16780
32,202,3,205,16795
33,219,6,225,16775
34,242,11,253,16747
35,261,12,273,16727
36,234,18,252,16748
37,242,13,255,16745
38,247,20,267,16733
39,251,32,283,16717
40,251,34,285,16715
41,263,35,298,16702
42,239,43,282,16718
43,239,51,290,16710
44,290,68,358,16642
45,273,86,359,16641
46,282,88,370,16630
47,282,124,406,16594
48,288,127,415,16585
49,275,154,429,16571
50,320,191,511,16489
51,306,204,510,16490
52,301,251,552,16448
53,280,312,592,16408
54,324,333,657,16343
55,313,395,708,16292
56,330,469,799,16201
57,320,510,830,16170
58,340,544,884,16116
59,330,656,986,16014
60,343,670,1013,15987
61,342,823,1165,15835
62,376,885,1261,15739
63,344,1002,1346,15654
64,363,1119,1482,15518
65,342,1182,1524,15476
66,326,1328,1654,15346
67,345,1504,1849,15151
68,338,1612,1950,15050
69,340,1732,2072,14928
70,339,1985,2324,14676
71,354,2091,2445,14555
72,345,2284,2629,14371
73,333,2502,2835,14165
74,352,2664,3016,13984
75,350,2902,3252,13748
76,356,3050,3406,13594
77,341,3284,3625,13375
78,329,3628,3957,13043
79,368,3716,4084,12916
80,355,4010,4365,12635
81,367,4164,4531,12469
82,325,4541,4866,12134
83,361,4774,5135,11865
84,320,5010,5330,11670
85,329,5375,5704,11296
86,304,5538,5842,11158
87,306,5847,6153,10847
88,263,6110,6373,10627
89,308,6453,6761,10239
90,297,6715,7012,9988
91,272,6899,7171,9829
92,268,7198,7466,9534
93,253,7516,7769,9231
94,269,7842,8111,8889
95,262,8063,8325,8675
96,248,8291,8539,8461
97,232,8652,8884,8116
98,255,8929,9184,7816
99,228,9176,9404,7596
100,243,9499,9742,7258
101,216,9696,9912,7088
102,223,9929,10152,6848
103,203,10233,10436,6564
104,188,10602,10790,6210
105,203,10700,10903,6097
106,191,10982,11173,5827
107,192,11177,11369,5631
108,191,11398,11589,5411
109,161,11668,11829,5171
110,161,11898,12059,4941
111,160,12087,12247,4753
112,152,12181,12333,4667
113,145,12635,12780,4220
114,145,12679,12824,4176
115,102,12865,12967,4033
116,123,13174,13297,3703
117,133,13349,13482,3518
118,120,13472,13592,3408
119,105,13636,13741,3259
120,92,13811,13903,3097
121,86,13927,14013,2987
122,76,14130,14206,2794
123,83,14235,14318,2682
124,88,14455,14543,2457
125,91,14552,14643,2357
126,77,14589,14666,2334
127,59,14851,14910,2090
128,62,14980,15042,1958
129,54,15010,15064,1936
130,67,15103,15170,1830
131,63,15189,15252,1748
132,58,15363,15421,1579
133,59,15480,15539,1461
134,45,15478,15523,1477
135,46,15555,15601,1399
136,37,15645,15682,1318
137,44,15733,15777,1223
138,34,15783,15817,1183
139,38,15829,15867,1133
140,38,15936,15974,1026
141,33,16043,16076,924
142,29,16059,16088,912
143,25,16155,16180,820
144,24,16186,16210,790
145,27,16254,16281,719
146,28,16251,16279,721
147,17,16411,16428,572
148,18,16391,16409,591
149,17,16457,16474,526
150,22,16438,16460,540
