"wolves.added","wolf.failures","moose.failures","total.failures","survival.rate"
1,1699,0,1699,0.000588235294117647
2,1699,0,1699,0.000588235294117647
3,1699,0,1699,0.000588235294117647
4,1699,0,1699,0.000588235294117647
5,1688,0,1688,0.00705882352941176
6,1490,0,1490,0.123529411764706
7,815,0,815,0.520588235294118
8,300,0,300,0.823529411764706
9,110,2,112,0.934117647058823
10,56,0,56,0.967058823529412
11,49,3,52,0.969411764705882
12,44,2,46,0.972941176470588
13,45,5,50,0.970588235294118
14,52,1,53,0.968823529411765
15,48,4,52,0.969411764705882
16,54,7,61,0.964117647058824
17,46,4,50,0.970588235294118
18,51,7,58,0.965882352941177
19,43,8,51,0.97
20,44,9,53,0.968823529411765
21,39,10,49,0.971176470588235
22,37,25,62,0.963529411764706
23,46,21,67,0.960588235294118
24,51,27,78,0.954117647058824
25,36,35,71,0.958235294117647
26,26,40,66,0.961176470588235
27,31,54,85,0.95
28,26,61,87,0.948823529411765
29,42,65,107,0.937058823529412
30,34,54,88,0.948235294117647
31,21,88,109,0.935882352941176
32,32,104,136,0.92
33,31,125,156,0.908235294117647
34,38,143,181,0.893529411764706
35,28,181,209,0.877058823529412
36,28,171,199,0.882941176470588
37,32,195,227,0.866470588235294
38,17,224,241,0.858235294117647
39,32,267,299,0.824117647058824
40,12,266,278,0.836470588235294
41,18,297,315,0.814705882352941
42,11,343,354,0.791764705882353
43,18,379,397,0.766470588235294
44,13,376,389,0.771176470588235
45,14,402,416,0.755294117647059
46,13,450,463,0.727647058823529
47,15,513,528,0.689411764705882
48,19,481,500,0.705882352941177
49,13,532,545,0.679411764705882
50,12,544,556,0.672941176470588
51,15,585,600,0.647058823529412
52,19,627,646,0.62
53,20,639,659,0.612352941176471
54,14,679,693,0.592352941176471
55,11,690,701,0.587647058823529
56,11,711,722,0.575294117647059
57,6,744,750,0.558823529411765
58,9,824,833,0.51
59,12,802,814,0.521176470588235
60,10,862,872,0.487058823529412
61,17,891,908,0.465882352941176
62,8,934,942,0.445882352941176
63,10,940,950,0.441176470588235
64,12,994,1006,0.408235294117647
65,10,970,980,0.423529411764706
66,7,1027,1034,0.391764705882353
67,13,1054,1067,0.372352941176471
68,9,1071,1080,0.364705882352941
69,7,1100,1107,0.348823529411765
70,9,1117,1126,0.337647058823529
71,4,1185,1189,0.300588235294118
72,10,1193,1203,0.292352941176471
73,7,1207,1214,0.285882352941176
74,5,1218,1223,0.280588235294118
75,3,1286,1289,0.241764705882353
76,3,1282,1285,0.244117647058824
77,2,1303,1305,0.232352941176471
78,4,1345,1349,0.206470588235294
79,1,1358,1359,0.200588235294118
80,3,1346,1349,0.206470588235294
81,8,1394,1402,0.175294117647059
82,7,1396,1403,0.174705882352941
83,2,1427,1429,0.159411764705882
84,3,1446,1449,0.147647058823529
85,5,1461,1466,0.137647058823529
86,3,1496,1499,0.118235294117647
87,3,1487,1490,0.123529411764706
88,0,1515,1515,0.108823529411765
89,6,1512,1518,0.107058823529412
90,6,1536,1542,0.0929411764705882
91,2,1540,1542,0.0929411764705882
92,3,1547,1550,0.0882352941176471
93,2,1528,1530,0.1
94,1,1553,1554,0.0858823529411765
95,4,1601,1605,0.0558823529411765
96,0,1578,1578,0.0717647058823529
97,0,1572,1572,0.0752941176470588
98,1,1590,1591,0.0641176470588235
99,1,1610,1611,0.0523529411764706
100,1,1613,1614,0.0505882352941176
101,0,1627,1627,0.0429411764705882
102,1,1619,1620,0.0470588235294118
103,0,1632,1632,0.04
104,2,1652,1654,0.0270588235294118
105,0,1641,1641,0.0347058823529412
106,0,1644,1644,0.0329411764705882
107,1,1656,1657,0.0252941176470588
108,1,1657,1658,0.0247058823529412
109,0,1667,1667,0.0194117647058824
110,0,1664,1664,0.0211764705882353
111,1,1669,1670,0.0176470588235294
112,0,1666,1666,0.02
113,2,1662,1664,0.0211764705882353
114,0,1670,1670,0.0176470588235294
115,1,1670,1671,0.0170588235294118
116,0,1678,1678,0.0129411764705882
117,0,1673,1673,0.0158823529411765
118,0,1682,1682,0.0105882352941176
119,0,1675,1675,0.0147058823529412
120,0,1684,1684,0.00941176470588235
121,0,1683,1683,0.01
122,0,1684,1684,0.00941176470588235
123,0,1686,1686,0.00823529411764706
124,0,1689,1689,0.00647058823529412
125,0,1690,1690,0.00588235294117647
126,0,1688,1688,0.00705882352941176
127,0,1691,1691,0.00529411764705882
128,0,1698,1698,0.00117647058823529
129,0,1696,1696,0.00235294117647059
130,0,1697,1697,0.00176470588235294
131,0,1697,1697,0.00176470588235294
132,0,1693,1693,0.00411764705882353
133,1,1688,1689,0.00647058823529412
134,0,1694,1694,0.00352941176470588
135,0,1697,1697,0.00176470588235294
136,0,1697,1697,0.00176470588235294
137,0,1698,1698,0.00117647058823529
138,0,1694,1694,0.00352941176470588
139,0,1697,1697,0.00176470588235294
140,0,1699,1699,0.000588235294117647
141,0,1699,1699,0.000588235294117647
142,0,1699,1699,0.000588235294117647
143,0,1699,1699,0.000588235294117647
144,0,1699,1699,0.000588235294117647
145,0,1700,1700,0
146,0,1698,1698,0.00117647058823529
147,0,1698,1698,0.00117647058823529
148,0,1700,1700,0
149,0,1700,1700,0
150,0,1700,1700,0
